北海道大学,ほっかいどうだいがく
北海道教育大学,ほっかいどうきょういくだいがく
室蘭工業大学,むろらんこうぎょうだいがく
小樽商科大学,おたるしょうかだいがく
帯広畜産大学,おびひろちくさんだいがく
北見工業大学,きたみこうぎょうだいがく
旭川医科大学,あさひかわいかだいがく
弘前大学,ひろさきだいがく
岩手大学,いわてだいがく
東北大学,とうほくだいがく
宮城教育大学,みやぎきょういくだいがく
秋田大学,あきただいがく
山形大学,やまがただいがく
福島大学,ふくしまだいがく
東京大学,とうきょうだいがく
東京医科歯科大学,とうきょういかしかだいがく
東京外国語大学,とうきょうがいこくごだいがく
東京学芸大学,とうきょうがくげいだいがく
東京農工大学,とうきょうのうこうだいがく
東京藝術大学,とうきょうげいじゅつだいがく
東京工業大学,とうきょうこうぎょうだいがく
東京海洋大学,とうきょうかいようだいがく
お茶の水女子大学,おちゃのみずじょしだいがく
電気通信大学,でんきつうしんだいがく
一橋大学,ひとつばしだいがく
政策研究大学院大学,せいさくけんきゅうだいがくいんだいがく
茨城大学,いばらきだいがく
筑波大学,つくばだいがく
筑波技術大学,つくばぎじゅつだいがく
宇都宮大学,うつのみやだいがく
群馬大学,ぐんまだいがく
埼玉大学,さいたまだいがく
千葉大学,ちばだいがく
横浜国立大学,よこはまこくりつだいがく
総合研究大学院大学,そうごうけんきゅうだいがくいんだいがく
新潟大学,にいがただいがく
長岡技術科学大学,ながおかぎじゅつかがくだいがく
上越教育大学,じょうえつきょういくだいがく
富山大学,とやまだいがく
金沢大学,かなざわだいがく
北陸先端科学技術大学院大学,ほくりくせんたんかがくぎじゅつだいがくいんだいがく
福井大学,ふくいだいがく
山梨大学,やまなしだいがく
信州大学,しんしゅうだいがく
岐阜大学,ぎふだいがく
静岡大学,しずおかだいがく
浜松医科大学,はままついかだいがく
名古屋大学,なごやだいがく
愛知教育大学,あいちきょういくだいがく
名古屋工業大学,なごやこうぎょうだいがく
豊橋技術科学大学,とよはしぎじゅつかがくだいがく
三重大学,みえだいがく
滋賀大学,しがだいがく
滋賀医科大学,しがいかだいがく
京都大学,きょうとだいがく
京都教育大学,きょうときょういくだいがく
京都工芸繊維大学,きょうとこうげいせんいだいがく
大阪大学,おおさかだいがく
大阪教育大学,おおさかきょういくだいがく
兵庫教育大学,ひょうごきょういくだいがく
神戸大学,こうべだいがく
奈良教育大学,ならきょういくだいがく
奈良女子大学,ならじょしだいがく
奈良先端科学技術大学院大学,ならせんたんかがくぎじゅつだいがくいんだいがく
和歌山大学,わかやまだいがく
鳥取大学,とっとりだいがく
島根大学,しまねだいがく
岡山大学,おかやまだいがく
広島大学,ひろしまだいがく
山口大学,やまぐちだいがく
徳島大学,とくしまだいがく
鳴門教育大学,なるときょういくだいがく
香川大学,かがわだいがく
愛媛大学,えひめだいがく
高知大学,こうちだいがく
九州大学,きゅうしゅうだいがく
九州工業大学,きゅうしゅうこうぎょうだいがく
福岡教育大学,ふくおかきょういくだいがく
佐賀大学,さがだいがく
長崎大学,ながさきだいがく
熊本大学,くまもとだいがく
大分大学,おおいただいがく
宮崎大学,みやざきだいがく
鹿児島大学,かごしまだいがく
鹿屋体育大学,かのやたいいくだいがく
琉球大学,りゅうきゅうだいがく
