旭川市立大学,あさひかわしりつだいがく
釧路公立大学,くしろこうりつだいがく
公立はこだて未来大学,こうりつはこだてみらいだいがく
公立千歳科学技術大学,こうりつちとせかがくぎじゅつだいがく
札幌医科大学,さっぽろいかだいがく
札幌市立大学,さっぽろしりつだいがく
名寄市立大学,なよろしりつだいがく
青森県立保健大学,あおもりけんりつほけんだいがく
青森公立大学,あおもりこうりつだいがく
岩手県立大学,いわてけんりつだいがく
宮城大学,みやぎだいがく
秋田県立大学,あきたけんりつだいがく
秋田公立美術大学,あきたこうりつびじゅつだいがく
国際教養大学,こくさいきょうようだいがく
山形県立保健医療大学,やまがたけんりつほけんいりょうだいがく
山形県立米沢栄養大学,やまがたけんりつよねざわえいようだいがく
会津大学,あいづだいがく
福島県立医科大学,ふくしまけんりついかだいがく
茨城県立医療大学,いばらきけんりついりょうだいがく
群馬県立県民健康科学大学,ぐんまけんりつけんみんけんこうかがくだいがく
群馬県立女子大学,ぐんまけんりつじょしだいがく
高崎経済大学,たかさきけいざいだいがく
前橋工科大学,まえばしこうかだいがく
埼玉県立大学,さいたまけんりつだいがく
千葉県立保健医療大学,ちばけんりつほけんいりょうだいがく
東京都立大学,とうきょうとりつだいがく
東京都立産業技術大学院大学,とうきょうとりつさんぎょうぎじゅつだいがくいんだいがく
神奈川県立保健福祉大学,かながわけんりつほけんふくしだいがく
川崎市立看護大学,かわさきしりつかんごだいがく
横浜市立大学,よこはましりつだいがく
三条市立大学,さんじょうしりつだいがく
長岡造形大学,ながおかぞうけいだいがく
新潟県立大学,にいがたけんりつだいがく
新潟県立看護大学,にいがたけんりつかんごだいがく
富山県立大学,とやまけんりつだいがく
石川県立大学,いしかわけんりつだいがく
石川県立看護大学,いしかわけんりつかんごだいがく
金沢美術工芸大学,かなざわびじゅつこうげいだいがく
公立小松大学,こうりつこまつだいがく
敦賀市立看護大学,つるがしりつかんごだいがく
福井県立大学,ふくいけんりつだいがく
都留文科大学,つるぶんかだいがく
山梨県立大学,やまなしけんりつだいがく
公立諏訪東京理科大学,こうりつすわとうきょうりかだいがく
長野大学,ながのだいがく
長野県看護大学,ながのけんかんごだいがく
長野県立大学,ながのけんりつだいがく
岐阜県立看護大学,ぎふけんりつかんごだいがく
岐阜薬科大学,ぎふやっかだいがく
情報科学芸術大学院大学,じょうほうかがくげいじゅつだいがくいんだいがく
静岡県立大学,しずおかけんりつだいがく
静岡社会健康医学大学院大学,しずおかしゃかいけんこういがくいんだいがく
静岡文化芸術大学,しずおかぶんかげいじゅつだいがく
愛知県立大学,あいちけんりつだいがく
愛知県立芸術大学,あいちけんりつげいじゅつだいがく
名古屋市立大学,なごやしりつだいがく
三重県立看護大学,みえけんりつかんごだいがく
滋賀県立大学,しがけんりつだいがく
京都市立芸術大学,きょうとしりつげいじゅつだいがく
京都府立大学,きょうとふりつだいがく
京都府立医科大学,きょうとふりついかだいがく
福知山公立大学,ふくちやまこうりつだいがく
大阪公立大学,おおさかこうりつだいがく
神戸市外国語大学,こうべしがいこくごだいがく
神戸市看護大学,こうべしかんごだいがく
兵庫県立大学,ひょうごけんりつだいがく
奈良県立大学,ならけんりつだいがく
奈良県立医科大学,ならけんりついかだいがく
和歌山県立医科大学,わかやまけんりついかだいがく
公立鳥取環境大学,こうりつとっとりかんきょうだいがく
島根県立大学,しまねけんりつだいがく
岡山県立大学,おかやまけんりつだいがく
新見公立大学,にいみこうりつだいがく
叡啓大学,えいけいだいがく
尾道市立大学,おのみちしりつだいがく
県立広島大学,けんりつひろしまだいがく
広島市立大学,ひろしましりつだいがく
福山市立大学,ふくやましりつだいがく
山陽小野田市立山口東京理科大学,さんようおのだしりつやまぐちとうきょうりかだいがく
下関市立大学,しものせきしりつだいがく
山口県立大学,やまぐちけんりつだいがく
周南公立大学,しゅうなんこうりつだいがく
香川県立保健医療大学,かがわけんりつほけんいりょうだいがく
愛媛県立医療技術大学,えひめけんりついりょうぎじゅつだいがく
高知県立大学,こうちけんりつだいがく
高知工科大学,こうちこうかだいがく
北九州市立大学,きたきゅうしゅうしりつだいがく
九州歯科大学,きゅうしゅうしかだいがく
福岡県立大学,ふくおかけんりつだいがく
福岡女子大学,ふくおかじょしだいがく
長崎県立大学,ながさきけんりつだいがく
熊本県立大学,くまもとけんりつだいがく
大分県立看護科学大学,おおいたけんりつかんごかがくだいがく
宮崎県立看護大学,みやざきけんりつかんごだいがく
宮崎公立大学,みやざきこうりつだいがく
沖縄県立看護大学,おきなわけんりつかんごだいがく
沖縄県立芸術大学,おきなわけんりつげいじゅつだいがく
名桜大学,めいおうだいがく
